,home_team,away_team,pr_spread
0,Ole Miss,Georgia State,-29.0
1,Georgia,Marshall,-29.5
2,Virginia,Coastal Carolina,-2.0
3,Sam Houston,UNLV,3.5
4,UCLA,Utah,-2.6
5,Michigan State,Western Michigan,-9.6
6,San José State,Central Michigan,-19.4
7,Western Kentucky,Sam Houston,-1.6
8,Texas State,Eastern Michigan,-22.4
9,Arizona,Hawai'i,-21.9
10,Florida State,Alabama,20.9
11,Utah State,UTEP,-11.2
12,Wisconsin,Miami (OH),-10.1
13,South Florida,Boise State,0.7
14,UCF,Jacksonville State,-10.9
15,Ohio State,Texas,-8.2
16,Akron,Wyoming,3.1
17,Charlotte,App State,12.9
18,Colorado,Georgia Tech,-1.3
19,NC State,East Carolina,-17.0
20,Miami,Notre Dame,6.9
21,Hawai'i,Stanford,2.3
22,North Carolina,TCU,7.2
23,Syracuse,Tennessee,17.6
24,Baylor,Auburn,-5.0
25,Massachusetts,Temple,-0.9
26,Michigan,New Mexico,-40.4
27,Southern Miss,Mississippi State,14.4
28,Louisiana,Rice,-11.5
29,Penn State,Nevada,-42.1
30,Washington,Colorado State,-17.1
31,Minnesota,Buffalo,-19.2
32,Indiana,Old Dominion,-21.5
33,Clemson,LSU,-1.8
34,Purdue,Ball State,-18.1
35,Fresno State,Georgia Southern,-4.0
36,Tulane,Northwestern,-7.8
37,Virginia Tech,South Carolina,7.5
38,Kentucky,Toledo,-9.1
39,Texas A&M,UTSA,-21.2
40,Rutgers,Ohio,-10.2
41,Cincinnati,Nebraska,5.8
42,Maryland,Florida Atlantic,-15.4
43,Oregon State,California,-2.8
44,Kansas,Fresno State,-13.7
45,Iowa State,Kansas State,3.5
46,Wake Forest,Kennesaw State,
47,UNLV,Idaho State,
48,San Diego State,Stony Brook,
49,Bowling Green,Lafayette,
50,Delaware,Delaware State,
51,UL Monroe,St. Francis (PA),
52,Missouri,Central Arkansas,
53,Oklahoma State,UT Martin,
54,Duke,Elon,
55,Houston,Stephen F. Austin,
56,UAB,Alabama State,
57,Army,Tarleton State,
58,Florida International,Bethune-Cookman,
60,Illinois,Western Illinois,
61,Pittsburgh,Duquesne,
62,Navy,VMI,
63,Kent State,Merrimack,
64,UConn,Central Connecticut,
65,West Virginia,Robert Morris,
66,Boston College,Fordham,
67,Louisville,Eastern Kentucky,
69,Air Force,Bucknell,
70,Northern Illinois,Holy Cross,
71,Oregon,Montana State,
72,Liberty,Maine,
73,Arkansas,Alabama A&M,
74,Memphis,Chattanooga,
75,James Madison,Weber State,
76,Iowa,UAlbany,
77,Oklahoma,Illinois State,
78,Arkansas State,Southeast Missouri State,
79,Middle Tennessee,Austin Peay,
80,Kansas State,North Dakota,
81,South Alabama,Morgan State,
82,Troy,Nicholls,
83,Vanderbilt,Charleston Southern,
84,Florida,Long Island University,
86,Louisiana Tech,SE Louisiana,
87,USC,Missouri State,
88,Texas Tech,Arkansas-Pine Bluff,
89,Tulsa,Abilene Christian,
90,North Texas,Lamar,
91,BYU,Portland State,
92,New Mexico State,Bryant,
93,SMU,East Texas A&M,
94,Arizona State,Northern Arizona,
95,Washington State,Idaho,
